uri,cid,author_did,author_handle,author_display_name,author_followers,author_following,author_posts,text,created_at,reply_count,repost_count,like_count,quote_count,hashtags,mentions,urls,has_image,has_video,has_external,image_count,is_reply,language,source,reply_count_actual,thread_depth
at://did:plc:25mt2mdfzeabxljcq32hns5t/app.bsky.feed.post/3m2zzthb7os2n,bafyreiemdlka7z7mlgkv5uff6o57xjfv4lzjhayrdegn45o4dvlkq4ppb4,did:plc:25mt2mdfzeabxljcq32hns5t,yellowjackinit.bsky.social,🔞YellowJackinit🔞,0,0,0,Piece for a Mysterious Benefactor (Circa early 2025),2025-10-13T01:11:35.003Z,0,7,131,1,[],[],[],True,False,False,1,False,en,popular_feed,0.0,0.0
at://did:plc:246s7yeo7r3ivt76tdqitkrp/app.bsky.feed.post/3m32mdvjy5k25,bafyreidwxnopimy64cl6rf2m4xeqevgg6sjz6we7pnorknv3rmsucgppyy,did:plc:246s7yeo7r3ivt76tdqitkrp,beardedwalker.bsky.social, Michael Grolys 🇱🇹 🇺🇦 🐕 🐾,0,0,0,"A lovely start to the day in the Eden Valley in Cumbria

#landscapephotography 
#UK
#Cumbria
#sunrise",2025-10-13T06:42:54.226Z,1,3,32,0,"[""landscapephotography"", ""UK"", ""Cumbria"", ""sunrise""]",[],[],True,False,False,1,False,en,popular_feed,,
at://did:plc:25zgnsy7dl46d2d34wb5cony/app.bsky.feed.post/3m32ajtdenl2q,bafyreiczgenlhcrojp6ooqar22d2a4n5ewk5sbynksnmvpi3ch2a6aswxy,did:plc:25zgnsy7dl46d2d34wb5cony,zenofdesign.com,Damion Schubert,0,0,0,"I can’t believe we’re like a decade into the streaming revolution and I still can’t go to ESPN’s app to see highlights of the baseball playoff game of my choice.  

There’s an episode of Baseball Tonight I can watch… from last Wednesday.",2025-10-13T03:11:28.263Z,51,30,634,2,[],[],[],False,False,False,0,False,en,popular_feed,49.0,6.0
at://did:plc:eclio37ymobqex2ncko63h4r/app.bsky.feed.post/3m2zhukrw3z2q,bafyreidog4hmzjjsi2s3nyu6w3x3qbrt73glh6zsz3zl26qr7drgyxsodm,did:plc:eclio37ymobqex2ncko63h4r,nytimes.com,The New York Times,0,0,0,"A slow-moving storm was working its way up the East Coast Sunday afternoon, bringing drenching rains, gusty winds and likely enough coastal flooding to inundate waterfront property and cause beach erosion.",2025-10-12T19:50:04.880514Z,3,15,50,0,[],[],[],False,False,True,0,False,,popular_feed,,
at://did:plc:i3fhjvvkbmirhyu4aeihhrnv/app.bsky.feed.post/3m2zhusbrkn2b,bafyreidf7jfjlfoncvfhc7cynb7i4z7wqzcjjvbmml7u4zzvepae3xonqa,did:plc:i3fhjvvkbmirhyu4aeihhrnv,wsj.com,The Wall Street Journal,0,0,0,"Among the last actions by former President Joe Biden before leaving the Oval Office was commuting the death sentences of 37 convicted murderers.

Hours after President Trump took over, he ordered the life sentences of these men be made, in effect, a living hell.

Read more: on.wsj.com/3W2PcUf",2025-10-12T19:50:12.523567Z,3,7,17,1,[],[],"[""https://on.wsj.com/3W2PcUf""]",True,False,False,1,False,,popular_feed,,
at://did:plc:223xmbonln2z6txstz6xfexd/app.bsky.feed.post/3m2znxqabfc2k,bafyreidxbyqlkcgnlp5pjbdanwv6ekykcmdcztu54nqnbrwozujs6sqwpu,did:plc:223xmbonln2z6txstz6xfexd,gingercatdusty.bsky.social,Ginger Cat Dusty,0,0,0,Welcome to mine fav spot under the coffee table where hoomom would keep magazines & stuff if it didn't belong to me. Hope you had a good day. Heading off for snuggles soon. Sleep well. Be ready for whatever comes at you during the coming week. Stay safe. Hugs 💤💙💤,2025-10-12T21:39:13.750Z,56,176,3382,6,[],[],[],True,False,False,1,False,en,popular_feed,51.0,3.0
at://did:plc:27bqb2cv5cnadhr2cbh62n7b/app.bsky.feed.post/3m33bbcfda22w,bafyreifvdpegxitcmgxzzfmigsq7cffveu5z35umhsxnod5jb5ohilxeoe,did:plc:27bqb2cv5cnadhr2cbh62n7b,olambrillas.bsky.social,OLAMBRILLAS ,0,0,0,"Collage #1313
Títere",2025-10-13T12:57:15.609Z,1,2,13,0,[],[],[],True,False,False,1,False,en,popular_feed,,
at://did:plc:2dsxvrewlaxzxvsr2uez5qsm/app.bsky.feed.post/3m326itnxmk2d,bafyreicwzcxzldzlote4t3dicccxxscbipuh2oi6zgjv2exrieg6x3oadq,did:plc:2dsxvrewlaxzxvsr2uez5qsm,denisewong.bsky.social,Denise Wong,0,0,0,"The beautiful Lake Como has inspired me to paint in both rain and sunshine. My thoughts are with the people in the Province of Como, Italy where thousands of homes have suffered serious damage due to the recent flood and landslides.

#LakeComo #Italy #PrayingForComo #NoFlood #TackleClimateChange",2025-10-13T02:35:07.662Z,1,3,52,0,"[""LakeComo"", ""Italy"", ""PrayingForComo"", ""NoFlood"", ""TackleClimateChange""]",[],[],False,True,False,0,False,en,popular_feed,,
at://did:plc:2kc35ed4lpnktlyamndh6pwr/app.bsky.feed.post/3m2zrddgw4k2b,bafyreihvyfv2ukrexmvjzz6k42j7hwrv3v4s2e7mtv2352wxuyqokuggjq,did:plc:2kc35ed4lpnktlyamndh6pwr,techpyon.com,サイバー酔っ払い かえる　Cyber drunkard FROG🍺,0,0,0,"おはようBluesky

#AIart",2025-10-12T22:39:24.221Z,2,13,116,0,"[""AIart""]",[],[],True,False,False,1,False,ja,popular_feed,2.0,2.0
at://did:plc:263v334x6j4o7s6ubcs64nvw/app.bsky.feed.post/3m2zobe3oj22a,bafyreibee5gnsxr6h3jqy4beclhd2hflw465l6zto5bw2m4ag475iugdeq,did:plc:263v334x6j4o7s6ubcs64nvw,searambo.bsky.social,Christine,0,0,0,"Would like to speak to the manager. 
#dogsofbluesky",2025-10-12T21:44:36.578Z,6,124,2072,0,"[""dogsofbluesky""]",[],[],True,False,False,1,False,en,popular_feed,6.0,3.0
